"Town","County","State"
"Beacon Falls","New Haven County","Connecticut"
"Bethany","New Haven County","Connecticut"
"Branford","New Haven County","Connecticut"
"Cheshire","New Haven County","Connecticut"
"Derby","New Haven County","Connecticut"
"East Haven","New Haven County","Connecticut"
"Guilford","New Haven County","Connecticut"
"Hamden","New Haven County","Connecticut"
"Madison","New Haven County","Connecticut"
"Meriden","New Haven County","Connecticut"
"Middlebury","New Haven County","Connecticut"
"Milford","New Haven County","Connecticut"
"Naugatuck","New Haven County","Connecticut"
"New Haven","New Haven County","Connecticut"
"North Branford","New Haven County","Connecticut"
"North Haven","New Haven County","Connecticut"
"Orange","New Haven County","Connecticut"
"Oxford","New Haven County","Connecticut"
"Prospect","New Haven County","Connecticut"
"Seymour","New Haven County","Connecticut"
"Southbury","New Haven County","Connecticut"
"Wallingford","New Haven County","Connecticut"
"Waterbury","New Haven County","Connecticut"
"West Haven","New Haven County","Connecticut"
"Wolcott","New Haven County","Connecticut"
"Woodbridge","New Haven County","Connecticut"
"Bozrah","New London County","Connecticut"
"Colchester","New London County","Connecticut"
"East Lyme","New London County","Connecticut"
"Franklin","New London County","Connecticut"
"Griswold","New London County","Connecticut"
"Groton","New London County","Connecticut"
"Lebanon","New London County","Connecticut"
"Ledyard","New London County","Connecticut"
"Lisbon","New London County","Connecticut"
"Lyme","New London County","Connecticut"
"Montville","New London County","Connecticut"
"New London","New London County","Connecticut"
"North Stonington","New London County","Connecticut"
"Norwich","New London County","Connecticut"
"Old Lyme","New London County","Connecticut"
"Preston","New London County","Connecticut"
"Salem","New London County","Connecticut"
"Sprague","New London County","Connecticut"
"Stonington","New London County","Connecticut"
"Voluntown","New London County","Connecticut"
"Waterford","New London County","Connecticut"
"Andover","Tolland County","Connecticut"
"Bolton","Tolland County","Connecticut"
"Columbia","Tolland County","Connecticut"
"Coventry","Tolland County","Connecticut"
"Ellington","Tolland County","Connecticut"
"Hebron","Tolland County","Connecticut"
"Mansfield","Tolland County","Connecticut"
"Somers","Tolland County","Connecticut"
"Stafford","Tolland County","Connecticut"
"Tolland","Tolland County","Connecticut"
"Union","Tolland County","Connecticut"
"Vernon","Tolland County","Connecticut"
"Willington","Tolland County","Connecticut"
"Ashford","Windham County","Connecticut"
"Brooklyn","Windham County","Connecticut"
"Canterbury","Windham County","Connecticut"
"Chaplin","Windham County","Connecticut"
"Eastford","Windham County","Connecticut"
"Hampton","Windham County","Connecticut"
"Killingly","Windham County","Connecticut"
"Plainfield","Windham County","Connecticut"
"Pomfret","Windham County","Connecticut"
"Putnam","Windham County","Connecticut"
"Scotland","Windham County","Connecticut"
"Sterling","Windham County","Connecticut"
"Thompson","Windham County","Connecticut"
"Windham","Windham County","Connecticut"
"Woodstock","Windham County","Connecticut"
